unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0C-1	Home_car_KCT0P-1	Home_car_KT05BgC-1	Home_car_KT05T2C-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Home_car_Y-SB-1	Home_car_Y-SC-1	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Sordaria_macrospora	0	0	0	1.354163229	1.85474984	1.926489966	1.614975507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_steynii	0	0	0	1.139946631	0	0	0	0	1.973389951	0	0	0	0	0	0	2.011182881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_citrinoviride	0	0	0	1.289393268	0	1.816062916	1.287732569	0	0	0	0	0	0	0	0	1.931720565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraphaeosphaeria_sporulosa	0	0	0	1.673340923	0	1.541015398	1.390682016	0	1.817706711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_pseudograminearum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.217179911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pichia_kudriavzevii	0	0	0	0	0	0	0	0	0	0	2.193133339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_flavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.168271224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Purpureocillium_lilacinum	0	0	0	1.26389845	0	0	1.955338678	0	0	1.272089367	0	0	0	0	0	0	1.193203577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptosphaeria_maculans	0	0	0	0	1.713971065	1.891014195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schizophyllum_commune	0	0	0	0.850746765	1.510680308	0	1.405521011	0	0	1.143589164	0	0	0	0	0	1.641167063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporisorium_graminicola	2.014320146	0	0	1.032246886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_neoniger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.040133197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colletotrichum_higginsianum	0	0	0	0.882995712	1.947920887	0	0	0	0	0	0	0	0	0	0	0.964856326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_xenobiotica	1.634938904	0	0	1.308992085	0	0	0	0	0	0	1.333309313	0	0	0	0	1.296044234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces_ingoldii	0	0	0	1.322373076	0	1.708519427	0	0	0	1.092256523	0	0	0	0	0	1.13454594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_oligosperma	1.462550571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.822794594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agaricus_bisporus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.957152096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Talaromyces_marneffei	1.561527187	0	0	0	0	0	0	0	0	1.607617205	0	0	0	0	0	1.017931195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pestalotiopsis_fici	0	0	0	0	0	0	0	0	1.894408831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogymnoascus_verrucosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.894174706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodotorula_graminis	0	0	0	1.586156681	0	0	0	0	0	1.510754927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trametes_versicolor	1.495699874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.595165783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocarpon_pusillum	0	0	0	0	0	0	0	0	0	0	1.828966564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
